station_index_id,station_name,ridership_in_2019,latitude,longitude
386,South Ferry/Whitehall St,10272682,40.70243644,-74.0130881
387,Spring St,3754272,40.722301,-73.997141
388,Spring St,4423135,40.726227,-74.003739
389,St Lawrence Ave,1276865,40.831509,-73.867618
390,Steinway St,4715335,40.75698736,-73.92052647
391,Sterling St,1654809,40.66277299,-73.95072891
392,Sutphin Blvd,1345420,40.705418,-73.810833
393,Sutphin Blvd-Archer Ave,7354064,40.70038242,-73.80800472
394,Sutter Ave,1047762,40.669145,-73.901916
395,Sutter Ave-Rutland Rd,2019485,40.66476679,-73.92252119
396,Times Sq-42nd St/Bryant Park/5th Ave,82233996,40.75486825,-73.9854303
397,Tremont Ave,3052099,40.85041,-73.905227
398,Union St,2271983,40.67731567,-73.98311
399,Utica Ave,5106247,40.679364,-73.930729
400,Van Cortlandt Park-242nd St,2189109,40.889248,-73.898583
401,Van Siclen Ave,853106,40.66551796,-73.88940492
402,Van Siclen Ave,918811,40.67271,-73.890358
403,Van Siclen Ave,791691,40.67802821,-73.89165773
404,Vernon Blvd-Jackson Ave,4623070,40.742626,-73.953581
405,W 4th St-Washington Sq,14063633,40.73229625,-74.00040157
406,W 8th St-NY Aquarium,837836,40.57603382,-73.97595787
407,Wakefield-241st St,1404748,40.903125,-73.85062
408,Wall St,6910581,40.706821,-74.0091
409,Wall St,5720475,40.707557,-74.011862
410,West Farms Sq-E Tremont Ave,2104945,40.84020763,-73.87996128
411,Westchester Sq-E Tremont Ave,1796415,40.839892,-73.842952
412,Whitlock Ave,586845,40.826525,-73.886283
413,Wilson Ave,1290221,40.68886654,-73.9039586
414,Winthrop St,1882065,40.65665931,-73.95007935
415,Woodhaven Blvd,1337787,40.693704,-73.852052
416,Woodhaven Blvd,6381132,40.73309737,-73.86943209
417,Woodlawn,2094285,40.886037,-73.878751
418,Woodside-61st St,5345369,40.74563,-73.902984
419,World Trade Center,20820549,40.71255973,-74.00956808
420,WTC Cortlandt,4232521,40.711835,-74.012188
421,York St,3927129,40.69974267,-73.986885
422,Zerega Ave,795756,40.836488,-73.847036
